Date,Open,High,Low,Close,Volume
03/22/2022,"17.61","17.99","17.59","17.84","11,000,140"
03/21/2022,"17.28","17.53","17.27","17.45","9,100,878"
03/18/2022,"17.06","17.27","16.99","17.22","27,132,990"
03/17/2022,"16.88","17.24","16.79","17.08","17,638,020"
03/16/2022,"16.45","17.08","16.35","17.03","16,070,460"
03/15/2022,"15.94","16.14","15.75","16.02","11,559,450"
03/14/2022,"15.92","16.29","15.86","16.12","13,318,630"
03/11/2022,"15.53","16.15","15.47","15.78","16,410,070"
03/10/2022,"15.85","15.89","15.26","15.47","14,220,860"
03/09/2022,"15.53","15.88","15.29","15.69","24,580,350"
03/08/2022,"13.97","15.03","13.96","14.84","27,610,920"
03/07/2022,"13.77","14.52","13.10","14.24","26,609,641"
03/04/2022,"15.27","15.32","14.52","14.54","24,562,010"
03/03/2022,"16.00","16.15","15.62","15.63","18,557,961"
03/02/2022,"15.81","16.27","15.35","16.09","22,825,311"
03/01/2022,"16.80","16.97","16.00","16.02","18,705,930"
02/28/2022,"16.80","16.99","16.24","16.89","21,163,711"
02/25/2022,"16.43","17.49","16.42","17.38","21,185,971"
02/24/2022,"16.89","17.10","16.07","16.35","24,469,641"
02/23/2022,"18.09","18.21","17.81","17.82","8,327,922"
02/22/2022,"17.59","18.19","17.30","18.02","14,867,840"
02/21/2022,"18.62","18.79","18.07","18.17","8,574,739"
02/18/2022,"18.73","18.89","18.60","18.65","10,102,460"
02/17/2022,"18.90","18.94","18.58","18.74","9,238,626"
02/16/2022,"19.30","19.34","18.71","18.93","9,755,735"
02/15/2022,"18.70","19.23","18.56","19.18","10,354,140"
02/14/2022,"19.04","19.17","18.80","19.07","13,577,590"
02/11/2022,"19.47","19.74","19.42","19.61","10,909,790"
02/10/2022,"19.52","19.90","19.51","19.75","14,427,270"
02/09/2022,"19.40","19.79","19.31","19.72","13,024,990"
02/08/2022,"19.02","19.34","19.01","19.30","12,372,440"
02/07/2022,"18.76","19.01","18.65","19.01","11,354,110"
02/04/2022,"18.90","18.99","18.46","18.69","10,302,200"
02/03/2022,"18.83","19.10","18.75","18.83","14,798,970"
02/02/2022,"18.50","18.93","18.46","18.80","19,878,439"
02/01/2022,"18.05","18.48","17.96","18.48","23,528,051"
01/31/2022,"17.15","17.29","17.03","17.10","12,006,320"
01/28/2022,"17.23","17.27","16.71","16.94","9,976,661"
01/27/2022,"17.18","17.46","17.10","17.22","9,858,531"
01/26/2022,"17.05","17.50","17.05","17.35","7,017,701"
01/25/2022,"16.75","17.06","16.67","16.93","10,147,250"
01/24/2022,"17.57","17.57","16.57","16.67","13,021,540"
01/21/2022,"17.44","17.72","17.38","17.49","12,795,640"
01/20/2022,"17.55","17.73","17.51","17.68","6,547,998"
01/19/2022,"17.73","17.84","17.58","17.66","7,293,279"
01/18/2022,"17.88","17.95","17.73","17.75","8,239,961"
01/17/2022,"17.89","17.99","17.87","17.98","6,323,774"
01/14/2022,"17.82","17.98","17.72","17.82","6,290,114"
01/13/2022,"17.83","18.00","17.82","17.94","5,993,146"
01/12/2022,"17.90","17.98","17.70","17.87","8,162,261"
01/11/2022,"17.83","17.93","17.73","17.82","8,193,928"
01/10/2022,"17.84","17.96","17.63","17.78","10,876,940"
01/07/2022,"17.50","17.88","17.47","17.78","15,152,280"
01/06/2022,"17.06","17.43","16.97","17.34","11,622,940"
01/05/2022,"17.06","17.16","17.00","17.15","6,879,678"
01/04/2022,"16.70","17.10","16.70","17.04","9,988,997"
01/03/2022,"16.43","16.65","16.38","16.63","4,570,356"
12/30/2021,"16.43","16.53","16.42","16.42","3,997,515"
12/29/2021,"16.60","16.61","16.40","16.51","3,308,073"
12/28/2021,"16.50","16.62","16.46","16.60","3,299,091"
12/27/2021,"16.38","16.56","16.35","16.52","3,544,890"
12/23/2021,"16.22","16.43","16.18","16.43","5,098,748"
12/22/2021,"16.07","16.17","15.98","16.17","4,883,796"
12/21/2021,"15.95","16.17","15.94","16.12","7,669,179"
12/20/2021,"15.89","16.01","15.63","15.80","8,746,649"
12/17/2021,"16.41","16.51","16.05","16.15","17,016,650"
12/16/2021,"16.46","16.66","16.42","16.55","9,135,843"
12/15/2021,"16.47","16.47","16.15","16.24","7,981,630"
12/14/2021,"16.50","16.57","16.33","16.38","7,023,930"
12/13/2021,"16.47","16.97","16.35","16.42","12,053,750"
12/10/2021,"16.46","16.56","16.40","16.48","5,361,951"
12/09/2021,"16.54","16.68","16.51","16.56","5,194,371"
12/08/2021,"16.59","16.72","16.42","16.64","7,042,280"
12/07/2021,"16.55","16.77","16.48","16.66","9,062,786"
12/06/2021,"16.24","16.52","16.17","16.43","9,008,689"
12/03/2021,"16.40","16.50","16.08","16.14","8,127,799"
12/02/2021,"15.96","16.31","15.91","16.27","8,571,178"
12/01/2021,"16.09","16.29","16.05","16.17","7,291,789"
11/30/2021,"15.51","15.97","15.42","15.94","27,901,090"
11/29/2021,"15.84","15.96","15.61","15.76","11,216,600"
11/26/2021,"15.89","15.98","15.61","15.62","15,528,140"
11/25/2021,"16.56","16.64","16.44","16.58","4,642,606"
11/24/2021,"16.27","16.57","16.26","16.52","7,408,562"
11/23/2021,"16.25","16.38","16.09","16.29","8,632,875"
11/22/2021,"16.30","16.47","16.18","16.38","9,778,013"
11/19/2021,"16.70","16.72","16.15","16.24","12,155,190"
11/18/2021,"16.92","16.93","16.62","16.65","9,345,404"
11/17/2021,"16.81","16.96","16.76","16.94","7,950,233"
11/16/2021,"16.66","16.81","16.62","16.81","7,603,017"
11/15/2021,"16.54","16.76","16.51","16.69","4,825,629"
11/12/2021,"16.67","16.75","16.51","16.69","6,846,323"
11/11/2021,"16.72","16.78","16.57","16.66","6,405,266"
11/10/2021,"16.74","16.82","16.59","16.69","7,742,757"
11/09/2021,"16.62","16.82","16.60","16.75","7,204,483"
11/08/2021,"16.77","16.82","16.68","16.77","6,235,640"
11/05/2021,"16.62","16.83","16.55","16.74","8,574,075"
11/04/2021,"16.97","17.04","16.62","16.65","9,726,604"
11/03/2021,"16.97","17.04","16.83","16.90","10,208,040"
11/02/2021,"16.72","16.98","16.71","16.97","7,287,436"
11/01/2021,"16.69","16.92","16.69","16.87","10,132,100"
10/29/2021,"16.54","16.71","16.43","16.65","10,602,040"
10/28/2021,"16.65","16.68","16.34","16.56","9,896,503"
10/27/2021,"16.52","16.72","16.46","16.61","11,547,740"
10/26/2021,"16.70","16.79","16.32","16.57","12,157,180"
10/25/2021,"16.10","16.36","16.03","16.36","9,555,229"
10/22/2021,"15.94","16.14","15.83","16.07","6,820,254"
10/21/2021,"15.88","15.98","15.76","15.94","5,503,199"
10/20/2021,"15.89","16.02","15.88","16.02","5,903,754"
10/19/2021,"15.90","15.98","15.83","15.94","4,378,741"
10/18/2021,"15.99","16.05","15.88","15.92","5,996,599"
10/15/2021,"15.86","16.00","15.86","15.88","8,975,663"
10/14/2021,"15.52","15.80","15.49","15.78","8,758,502"
10/13/2021,"15.53","15.58","15.33","15.48","7,121,453"
10/12/2021,"15.51","15.59","15.36","15.58","5,864,292"
10/11/2021,"15.51","15.69","15.50","15.63","7,704,642"
10/08/2021,"15.35","15.55","15.32","15.55","11,361,810"
10/07/2021,"15.00","15.39","14.92","15.36","10,713,750"
10/06/2021,"15.00","15.07","14.66","14.83","8,400,016"
10/05/2021,"14.74","15.05","14.70","15.02","6,986,542"
10/04/2021,"14.69","14.93","14.65","14.74","7,044,135"
10/01/2021,"14.75","14.79","14.56","14.76","9,358,180"
09/30/2021,"15.17","15.24","14.93","15.00","9,193,180"
09/29/2021,"14.90","15.11","14.87","15.07","7,640,228"
09/28/2021,"14.99","15.05","14.80","14.85","9,704,943"
09/27/2021,"14.76","14.99","14.72","14.90","8,082,265"
09/24/2021,"14.54","14.72","14.50","14.72","5,848,645"
09/23/2021,"14.65","14.68","14.52","14.64","5,938,037"
09/22/2021,"14.29","14.48","14.17","14.45","8,354,944"
09/21/2021,"14.33","14.40","14.09","14.13","11,394,610"
09/20/2021,"15.00","15.00","14.27","14.31","16,171,430"
09/17/2021,"15.54","15.61","15.28","15.31","18,485,160"
09/16/2021,"15.39","15.59","15.39","15.46","7,635,443"
09/15/2021,"15.29","15.50","15.28","15.36","8,492,229"
09/14/2021,"15.49","15.53","15.29","15.32","6,947,200"
09/13/2021,"15.25","15.46","15.25","15.40","5,487,438"
09/10/2021,"15.20","15.37","15.11","15.21","5,663,359"
09/09/2021,"15.12","15.31","15.02","15.24","7,265,643"
09/08/2021,"15.35","15.46","15.21","15.32","7,123,839"
09/07/2021,"15.41","15.49","15.38","15.45","5,042,804"
09/06/2021,"15.30","15.49","15.25","15.42","4,389,617"
09/03/2021,"15.28","15.35","15.23","15.30","5,710,951"
09/02/2021,"15.40","15.41","15.26","15.37","5,453,806"
09/01/2021,"15.31","15.47","15.26","15.36","7,588,436"
08/31/2021,"15.30","15.34","15.18","15.28","9,951,668"
08/30/2021,"15.41","15.41","15.26","15.34","3,767,304"
08/27/2021,"15.41","15.41","15.28","15.40","4,775,221"
08/26/2021,"15.47","15.56","15.42","15.45","5,360,540"
