Date,Open,High,Low,Close,Volume
01/2019,12.22,13.54,12.04,12.85,"288,360,058"
01/2020,12.27,12.88,11.93,12.00,"407,893,788"
01/2021,12.63,13.81,12.52,12.88,"281,886,722"
01/2022,16.43,18.00,16.38,17.10,"190,959,295"
02/2018,19.05,19.20,17.09,18.07,"212,872,180"
02/2019,12.96,13.17,12.20,12.70,"287,865,646"
02/2020,12.02,13.28,10.43,10.60,"479,726,904"
02/2021,12.93,14.65,12.86,14.10,"230,527,203"
02/2022,18.05,19.90,16.07,16.89,"282,214,635"
03/2018,17.90,17.96,16.41,16.80,"273,193,341"
03/2019,12.78,12.86,11.64,12.07,"370,892,383"
03/2020,10.91,10.94,7.00,9.05,"989,868,538"
03/2021,14.25,15.24,14.12,14.64,"339,743,708"
03/2022,16.80,17.99,13.10,17.84,"299,903,621"
04/2018,16.60,17.29,16.13,16.77,"273,653,003"
04/2019,12.19,13.81,12.14,13.67,"298,407,382"
04/2020,8.71,10.93,8.58,10.34,"486,744,278"
04/2021,14.66,15.21,13.56,13.93,"231,142,335"
05/2018,16.69,16.78,14.84,14.85,"305,739,793"
05/2019,13.55,13.77,11.49,11.55,"299,843,668"
05/2020,10.00,10.66,8.75,10.30,"374,194,977"
05/2021,13.96,14.77,13.58,14.59,"194,234,751"
06/2018,15.25,15.80,14.82,15.33,"324,318,650"
06/2019,11.42,11.94,11.24,11.60,"321,692,082"
06/2020,10.55,11.63,9.91,10.91,"472,158,924"
06/2021,14.71,14.95,14.01,14.16,"192,627,342"
07/2018,15.13,16.42,14.82,16.32,"258,869,502"
07/2019,11.85,12.20,11.08,11.10,"420,844,085"
07/2020,10.86,11.78,10.53,10.70,"334,578,451"
07/2021,14.25,15.08,13.23,14.94,"189,626,495"
08/2018,16.30,16.30,15.08,15.14,"178,265,280"
08/2019,10.79,10.94,9.86,10.45,"468,507,380"
08/2020,10.70,11.58,10.63,10.99,"202,253,910"
08/2021,14.97,15.81,14.93,15.28,"141,361,235"
09/2018,15.16,16.11,14.96,15.50,"241,667,332"
09/2019,10.47,11.65,10.28,11.33,"415,874,782"
09/2020,11.06,11.56,9.65,10.30,"314,783,754"
09/2021,15.31,15.61,14.09,15.00,"177,614,207"
10/2018,15.48,15.51,13.00,14.09,"347,222,876"
10/2019,11.35,12.03,10.41,11.64,"408,181,238"
10/2020,10.39,11.50,10.16,10.65,"327,483,702"
10/2021,14.75,16.79,14.56,16.65,"174,650,224"
11/2018,14.09,14.63,13.14,13.50,"316,159,262"
11/2019,11.64,12.52,11.59,12.12,"311,813,082"
11/2020,10.72,13.50,10.68,12.89,"440,714,823"
11/2021,16.69,17.04,15.42,15.94,"207,350,083"
12/2018,13.89,13.94,11.67,12.24,"301,934,821"
12/2019,12.15,12.35,11.63,12.23,"269,283,710"
12/2020,12.77,13.03,11.96,12.47,"266,283,673"
12/2021,16.09,16.97,15.63,16.42,"153,420,587"
